Column 4,ABC,Agency Name,Agency description
1,A,AbilityOne Commission,The AbilityOne Commission creates job opportunities for people who are blind or have other significant disabilities in the manufacture and delivery of products and services to the Federal Government.
2,A,Access Board,"The Access Board is an independent federal agency devoted to accessibility for people with disabilities. The Board develops and maintains design criteria for the built environment, transit vehicles, telecommunications equipment, and for electronic and information technology."
3,A,Administration for Children and Families (ACF),"The Administration for Children and Families (ACF) funds state, territory, local, and tribal organizations to provide family assistance (welfare), child support, child care, Head Start, child welfare, and other programs relating to children and families."
4,A,Administration for Community Living (ACL),"The Administration for Community Living (ACL) supports the needs of the aging and disability populations, and improves access health care and long-term services."
5,A,Administration for Native Americans (ANA),"The Administration for Native Americans (ANA) promotes self-sufficiency and cultural preservation for Native Americans by providing social and economic development opportunities through financial assistance, training, and technical assistance."
6,A,Administrative Conference of the United States (ACUS),The Administrative Conference of the United States (ACUS) is an independent federal agency dedicated to improving federal agency administrative processes and procedures.
7,A,Administrative Office of the U.S. Courts,"The Administrative Office of the United States Courts handles the nonjudicial, administrative business of the United States Courts such as maintaining statistics and managing Court budgets."
8,A,Advisory Council on Historic Preservation (ACHP),The Advisory Council on Historic Preservation (ACHP) encourages the preservation of historic properties across the nation.
9,A,Africa Command,The U.S. Africa Command strengthens the defense capabilities of African nations.
10,A,African Development Foundation (USADF),The African Development Foundation (USADF) provides grants to community groups and small enterprises that benefit under-served and marginalized groups in Africa.
11,A,Agency for Global Media,"The U.S. Agency for Global Media, formerly known as the Broadcasting Board of Governors, broadcasts news and information about the United States and the world to audiences abroad."
12,A,Agency for Healthcare Research and Quality (AHRQ),"The Agency for Healthcare Research and Quality (AHRQ) supports research to improve the quality, safety, efficiency, and effectiveness of health care for all Americans."
13,A,Agency for International Development (USAID),"The U.S. Agency for International Development (USAID) is the principal U.S. agency to extend assistance to countries recovering from disaster, trying to escape poverty, and engaging in democratic reforms."
14,A,Agency for Toxic Substances and Disease Registry (ATSDR),"The Agency for Toxic Substances and Disease Registry (ATSDR) responds to, and protects people from harmful chemical exposures."
15,A,Agricultural Marketing Service (AMS),The Agricultural Marketing Service (AMS) supports the fair marketing of U.S. agricultural products.
16,A,Agricultural Research Service (ARS),The Agricultural Research Service (ARS) works to find solutions to agricultural problems.
17,A,Agriculture Department (USDA),"The Department of Agriculture (USDA) provides leadership on food, agriculture, natural resources, and related issues."
18,A,Agriculture Library (NAL),The National Agricultural Library (NAL) is the main source of information and research on agriculture.
19,A,Air Force,The Air Force defends the United States in the air and space.
20,A,Air Force Reserve,The Air Force Reserve Command performs missions and supports Air Force operations.
21,A,Alcohol and Tobacco Tax and Trade Bureau (TTB),"The Alcohol and Tobacco Tax and Trade Bureau (TTB) collects taxes and enforces regulations on alcohol, tobacco, firearms, and ammunition."
22,A,"Alcohol, Tobacco, Firearms and Explosives Bureau (ATF)","The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) enforces federal criminal laws regulating the firearms and explosives industries."
23,A,Alhurra TV,"The Middle East Broadcasting Network operates Alhurra TV and Radio Sawa. Alhurra TV and Radio Sawa provide news to the people of the Middle East about the region, the world, and the United States."
24,A,American Battle Monuments Commission (ABMC),"The American Battle Monuments Commission (ABMC) manages 24 military cemeteries abroad, and 25 memorials, monuments, and markers. Nearly all the cemeteries and memorials honor those who served in World War I or World War II."
25,A,AmeriCorps,"Formerly known as the Corporation for National and Community Service, AmeriCorps, and AmeriCorps Seniors engage volunteers in serving directly with nonprofit organizations to tackle the nation's most pressing challenges."
26,A,AmeriCorps Seniors,"AmeriCorps Seniors is a network of volunteer programs for Americans 55 years and older. Volunteers work in their community doing academic tutoring and mentoring, elderly care, disaster relief, and more."
27,A,Animal and Plant Health Inspection Service (APHIS),"The Animal and Plant Health Inspection Service (APHIS) protects and promotes U.S. agricultural health, regulates genetically engineered organisms, administers the Animal Welfare Act, and manages wildlife damage."
28,A,Antitrust Division,The Antitrust Division promotes economic competition through enforcing and providing guidance on antitrust laws and principles.
29,A,Appalachian Regional Commission (ARC),The Appalachian Regional Commission (ARC) works for sustainable community and economic development in Appalachia.
30,A,Architect of the Capitol,"The Architect of the Capitol manages and maintains the U.S. Capitol, the Capitol Visitor Center, the Senate Office Buildings, the House Office Buildings, the Supreme Court Building, the Library of Congress, the U.S. Botanic Garden, and the Capitol Grounds"
31,A,"Archives, National Archives and Records Administration (NARA)","The National Archives and Records Administration (NARA) preserves U.S. government records, manages the Presidential Libraries system, and publishes laws, regulations, Presidential, and other public documents."
32,A,Arctic Research Commission (USARC),The U.S. Arctic Research Commission (USARC) develops and recommends a national Arctic research policy.
33,A,Armed Forces Retirement Home (AFRH),The Gulfport and Washington campuses of the Armed Forces Retirement Home (AFRH) are retirement centers for veterans of the U.S. military.
34,A,Arms Control and International Security,"The Office of the Under Secretary of State for Arms Control and International Security serves as senior adviser to the president and the secretary of state for arms control, nonproliferation, and disarmament."
35,A,Army,"The U.S. Army organizes, trains, and equips active duty and Reserve forces to preserve the peace, security, and defense of the United States."
36,A,Army Corps of Engineers,"The Army Corps of Engineers provides public engineering services in peace and war to strengthen national security, energize the economy, and reduce risks from disasters."
37,A,"Arthritis, Musculoskeletal and Skin Diseases, National Institute of (NIAMS)","The National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) supports research into the causes, treatment, and prevention of arthritis, musculoskeletal, and skin diseases."
38,B,Bankruptcy Courts,"Each of the 94 federal judicial districts handles bankruptcy matters, and in almost all districts, bankruptcy cases are filed in the bankruptcy court. Bankruptcy laws help people who can no longer pay their creditors get a fresh start by liquidating their assets to pay their debts, or by creating a repayment plan."
39,B,Barry M. Goldwater Scholarship and Excellence in Education Foundation,"The Barry Goldwater Scholarship and Excellence in Education Foundation awards scholarships to college students who intend to pursue careers in science, mathematics, and engineering."
40,B,Bonneville Power Administration (BPA),The Bonneville Power Administration (BPA) creates and delivers a reliable power supply to the Pacific Northwest.
41,B,Botanic Garden,"The Botanic Garden is a living plant museum that educates visitors about the importance of plants to the well-being of humans, and to Earthâ€™s fragile ecosystems."
42,B,Bureau of Alcohol and Tobacco Tax and Trade (TTB),"The Alcohol and Tobacco Tax and Trade Bureau (TTB) collects taxes and enforces regulations on alcohol, tobacco, firearms, and ammunition."
43,B,"Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF)","The Bureau of Alcohol, Tobacco, Firearms and Explosives (ATF) enforces federal criminal laws regulating the firearms and explosives industries."
44,B,Bureau of Consular Affairs,"The Bureau of Consular Affairs provides passport services to U.S. citizens, issues Visas to enter the U.S., manages the Diversity Visa Lottery, and provides services to U.S. citizens abroad."
45,B,Bureau of Consumer Financial Protection (CFPB),"The Consumer Financial Protection Bureau (CFPB) helps consumers by providing educational materials and accepting complaints. It supervises banks, lenders, and large non-bank entities, such as credit reporting agencies and debt collection companies. The Bureau also works to make credit card, mortgage, and other loan disclosures clearer, so consumers can understand their rights and responsibilities."
46,B,Bureau of Economic Analysis (BEA),"The Bureau of Economic Analysis (BEA) produces economic accounts statistics that enable government and business decision makers, researchers, and the American public to follow and understand the performance of the Nation's economy."
47,B,Bureau of Engraving and Printing (BEP),"The Bureau of Engraving and Printing (BEP) produces United States currency notes, operates as the nation's central bank, and serves to ensure that adequate amounts of currency and coin are in circulation."
48,B,Bureau of Indian Affairs (BIA),"The mission of the Bureau of Indian Affairs (BIA) is to enhance the quality of life, to promote economic opportunity, and to carry out the responsibility to protect and improve the trust assets of American Indians, Indian tribes, and Alaska Natives."
